Multiplier: 1
Decision_Tree MLLib: 18 different tests
Iteration,Impurity,Max_Depth,Max_Bins,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
9.1,logLoss,5,64,50,0.9426,0.1189,0.8811,0.0574,0.0801,0.9156,50.131
10.1,logLoss,5,64,100,0.9504,0.1172,0.8828,0.0496,0.0749,0.9227,134.076
11.1,logLoss,5,128,50,0.9431,0.1064,0.8936,0.0569,0.0749,0.9196,61.761
12.1,logLoss,5,128,100,0.9508,0.1049,0.8951,0.0492,0.0698,0.9268,142.179
13.1,leastSquaresError,3,32,50,0.9393,0.1071,0.8929,0.0607,0.0775,0.9161,34.729
14.1,leastSquaresError,3,32,100,0.939,0.1135,0.8865,0.061,0.0801,0.914,77.603
15.1,leastSquaresError,3,64,50,0.9472,0.0993,0.9007,0.0528,0.0698,0.9252,34.641
16.1,leastSquaresError,3,64,100,0.9472,0.0993,0.9007,0.0528,0.0698,0.9252,90.398
17.1,leastSquaresError,3,128,50,0.9398,0.0942,0.9058,0.0602,0.0724,0.9201,42.624
18.1,leastSquaresError,3,128,100,0.9395,0.1007,0.8993,0.0605,0.0749,0.9181,96.894
19.1,leastSquaresError,5,32,50,0.9426,0.1189,0.8811,0.0574,0.0801,0.9156,52.313
20.1,leastSquaresError,5,32,100,0.9426,0.1189,0.8811,0.0574,0.0801,0.9156,125.726
21.1,leastSquaresError,5,64,50,0.9463,0.1241,0.8759,0.0537,0.0801,0.9171,52.03
22.1,leastSquaresError,5,64,100,0.9463,0.1241,0.8759,0.0537,0.0801,0.9171,117.329
23.1,leastSquaresError,5,128,50,0.9506,0.1111,0.8889,0.0494,0.0724,0.9248,51.46
24.1,leastSquaresError,5,128,100,0.9465,0.1181,0.8819,0.0535,0.0775,0.9192,125.439
25.1,leastAbsoluteError,3,32,50,0.9431,0.1064,0.8936,0.0569,0.0749,0.9196,30.736
26.1,leastAbsoluteError,3,32,100,0.9431,0.1064,0.8936,0.0569,0.0749,0.9196,69.187
27.1,leastAbsoluteError,3,64,50,0.9435,0.0935,0.9065,0.0565,0.0698,0.9237,31.847
28.1,leastAbsoluteError,3,64,100,0.9474,0.0929,0.9071,0.0526,0.0672,0.9273,71.835
29.1,leastAbsoluteError,3,128,50,0.9246,0.1037,0.8963,0.0754,0.0853,0.9038,34.604
30.1,leastAbsoluteError,3,128,100,0.9355,0.1079,0.8921,0.0645,0.0801,0.9125,77.475
31.1,leastAbsoluteError,5,32,50,0.9317,0.1087,0.8913,0.0683,0.0827,0.9089,42.488
32.1,leastAbsoluteError,5,32,100,0.9352,0.1143,0.8857,0.0648,0.0827,0.9105,104.38
33.1,leastAbsoluteError,5,64,50,0.9458,0.1361,0.8639,0.0542,0.0853,0.9131,43.835
34.1,leastAbsoluteError,5,64,100,0.9538,0.1342,0.8658,0.0462,0.0801,0.9202,107.545
35.1,leastAbsoluteError,5,128,50,0.9506,0.1111,0.8889,0.0494,0.0724,0.9248,50.338
36.1,leastAbsoluteError,5,128,100,0.9388,0.1197,0.8803,0.0612,0.0827,0.912,119.987
#############################
Logistic Regression: 54 different tests
Iteration,Max_Iter,Reg_Param,Elastic_Net_Param,Aggregation_Depth,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
1.1,50,0.1,0.8,2,1.0,0.1765,0.8235,0.0,0.0775,0.9393,2.052
2.1,50,0.1,0.8,3,1.0,0.1667,0.8333,0.0,0.0724,0.9433,2.014
3.1,50,0.1,0.8,4,0.9913,0.1266,0.8734,0.0087,0.0568,0.9524,1.972
4.1,50,0.1,1.0,2,1.0,0.1765,0.8235,0.0,0.0775,0.9393,1.853
5.1,50,0.1,1.0,3,1.0,0.1667,0.8333,0.0,0.0724,0.9433,1.836
6.1,50,0.1,1.0,4,0.9913,0.1266,0.8734,0.0087,0.0568,0.9524,1.923
7.1,50,0.1,1.2,2,1.0,0.1765,0.8235,0.0,0.0775,0.9393,1.948
8.1,50,0.1,1.2,3,1.0,0.1667,0.8333,0.0,0.0724,0.9433,1.932
9.1,50,0.1,1.2,4,0.9913,0.1266,0.8734,0.0087,0.0568,0.9524,1.903
10.1,50,0.3,0.8,2,1.0,0.1765,0.8235,0.0,0.0775,0.9393,1.892
11.1,50,0.3,0.8,3,1.0,0.1667,0.8333,0.0,0.0724,0.9433,1.928
12.1,50,0.3,0.8,4,0.9913,0.1266,0.8734,0.0087,0.0568,0.9524,2.091
13.1,50,0.3,1.0,2,1.0,0.1765,0.8235,0.0,0.0775,0.9393,1.978
14.1,50,0.3,1.0,3,1.0,0.1667,0.8333,0.0,0.0724,0.9433,1.967
15.1,50,0.3,1.0,4,0.9913,0.1266,0.8734,0.0087,0.0568,0.9524,1.971
16.1,50,0.3,1.2,2,1.0,0.1765,0.8235,0.0,0.0775,0.9393,1.797
17.1,50,0.3,1.2,3,1.0,0.1667,0.8333,0.0,0.0724,0.9433,1.894
18.1,50,0.3,1.2,4,0.9913,0.1266,0.8734,0.0087,0.0568,0.9524,2.097
19.1,50,0.5,0.8,2,1.0,0.1765,0.8235,0.0,0.0775,0.9393,1.836
20.1,50,0.5,0.8,3,1.0,0.1667,0.8333,0.0,0.0724,0.9433,1.911
21.1,50,0.5,0.8,4,0.9913,0.1266,0.8734,0.0087,0.0568,0.9524,2.022
22.1,50,0.5,1.0,2,1.0,0.1765,0.8235,0.0,0.0775,0.9393,1.875
23.1,50,0.5,1.0,3,1.0,0.1667,0.8333,0.0,0.0724,0.9433,1.878
24.1,50,0.5,1.0,4,0.9913,0.1266,0.8734,0.0087,0.0568,0.9524,1.984
25.1,50,0.5,1.2,2,1.0,0.1765,0.8235,0.0,0.0775,0.9393,1.868
26.1,50,0.5,1.2,3,1.0,0.1667,0.8333,0.0,0.0724,0.9433,1.952
27.1,50,0.5,1.2,4,0.9913,0.1266,0.8734,0.0087,0.0568,0.9524,2.005
28.1,100,0.1,0.8,2,1.0,0.1765,0.8235,0.0,0.0775,0.9393,1.878
29.1,100,0.1,0.8,3,1.0,0.1667,0.8333,0.0,0.0724,0.9433,1.999
30.1,100,0.1,0.8,4,0.9913,0.1266,0.8734,0.0087,0.0568,0.9524,1.978
31.1,100,0.1,1.0,2,1.0,0.1765,0.8235,0.0,0.0775,0.9393,1.915
32.1,100,0.1,1.0,3,1.0,0.1667,0.8333,0.0,0.0724,0.9433,1.817
33.1,100,0.1,1.0,4,0.9913,0.1266,0.8734,0.0087,0.0568,0.9524,1.907
34.1,100,0.1,1.2,2,1.0,0.1765,0.8235,0.0,0.0775,0.9393,1.767
35.1,100,0.1,1.2,3,1.0,0.1667,0.8333,0.0,0.0724,0.9433,1.925
36.1,100,0.1,1.2,4,0.9913,0.1266,0.8734,0.0087,0.0568,0.9524,1.892
37.1,100,0.3,0.8,2,1.0,0.1765,0.8235,0.0,0.0775,0.9393,2.038
38.1,100,0.3,0.8,3,1.0,0.1667,0.8333,0.0,0.0724,0.9433,1.976
39.1,100,0.3,0.8,4,0.9913,0.1266,0.8734,0.0087,0.0568,0.9524,2.018
40.1,100,0.3,1.0,2,1.0,0.1765,0.8235,0.0,0.0775,0.9393,1.842
41.1,100,0.3,1.0,3,1.0,0.1667,0.8333,0.0,0.0724,0.9433,1.918
42.1,100,0.3,1.0,4,0.9913,0.1266,0.8734,0.0087,0.0568,0.9524,2.052
43.1,100,0.3,1.2,2,1.0,0.1765,0.8235,0.0,0.0775,0.9393,1.805
44.1,100,0.3,1.2,3,1.0,0.1667,0.8333,0.0,0.0724,0.9433,2.044
45.1,100,0.3,1.2,4,0.9913,0.1266,0.8734,0.0087,0.0568,0.9524,1.878
46.1,100,0.5,0.8,2,1.0,0.1765,0.8235,0.0,0.0775,0.9393,1.934
