Multiplier: 10
Multilayer Perceptron: 36 different tests
Iteration,Max_Iter,Layer,Block_Size,Solver,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
1.1,50,"[30, 10, 2]",128,l-bfgs,0.0,0.5127,0.4873,0.0,0.5127,0.5,6.228
1.2,50,"[30, 10, 2]",128,l-bfgs,0.0,0.5305,0.4695,0.0,0.5305,0.5,2.415
1.3,50,"[30, 10, 2]",128,l-bfgs,0.0,0.5071,0.4929,1.0,0.5088,0.4964,2.106
1.4,50,"[30, 10, 2]",128,l-bfgs,0.4607,1.0,0.0,0.5393,0.5409,0.4962,1.531
1.5,50,"[30, 10, 2]",128,l-bfgs,0.0,0.5445,0.4555,0.0,0.5445,0.5,1.997
1.6,50,"[30, 10, 2]",128,l-bfgs,0.0,0.5216,0.4784,0.0,0.5096,0.5,1.874
1.7,50,"[30, 10, 2]",128,l-bfgs,0.0,0.495,0.505,0.0,0.495,0.5,1.655
1.8,50,"[30, 10, 2]",128,l-bfgs,0.4929,0.0,0.0,0.5071,0.5071,0.5,1.555
1.9,50,"[30, 10, 2]",128,l-bfgs,0.0,0.511,0.489,0.0,0.511,0.5,1.959
1.10,50,"[30, 10, 2]",128,l-bfgs,0.0,0.505,0.495,0.0,0.505,0.5,1.499
2.1,50,"[30, 10, 2]",128,gd,1.0,0.5127,0.4873,0.0,0.5127,0.5,2.023
2.2,50,"[30, 10, 2]",128,gd,0.0,0.5305,0.4695,0.0,0.5305,0.5,2.033
2.3,50,"[30, 10, 2]",128,gd,0.0,0.5071,0.4929,1.0,0.5088,0.4964,2.178
2.4,50,"[30, 10, 2]",128,gd,0.4607,1.0,0.0,0.5393,0.5445,0.4962,1.908
2.5,50,"[30, 10, 2]",128,gd,0.0,0.5483,0.4517,0.0,0.5445,0.5,1.92
2.6,50,"[30, 10, 2]",128,gd,0.0,0.5326,0.4674,1.0,0.5594,0.5,1.915
2.7,50,"[30, 10, 2]",128,gd,0.0,0.495,0.505,0.0,0.495,0.5,1.976
2.8,50,"[30, 10, 2]",128,gd,0.0,0.4946,0.5054,1.0,0.4964,0.4965,1.876
2.9,50,"[30, 10, 2]",128,gd,0.0,0.511,0.489,0.0,0.511,0.5,1.9
2.10,50,"[30, 10, 2]",128,gd,0.0,0.505,0.495,0.0,0.505,0.5,1.88
3.1,50,"[30, 10, 2]",256,l-bfgs,0.0,0.5127,0.4873,1.0,0.5191,0.5,1.624
3.2,50,"[30, 10, 2]",256,l-bfgs,0.0,0.5305,0.4695,0.0,0.5305,0.5,1.821
3.3,50,"[30, 10, 2]",256,l-bfgs,0.0,0.5071,0.4929,1.0,0.5088,0.4964,1.691
3.4,50,"[30, 10, 2]",256,l-bfgs,0.4607,1.0,0.0,0.5393,0.5409,0.4962,1.238
3.5,50,"[30, 10, 2]",256,l-bfgs,0.0,0.5445,0.4555,0.0,0.5445,0.4962,1.698
3.6,50,"[30, 10, 2]",256,l-bfgs,0.0,0.5326,0.4674,0.0,0.5326,0.5,1.563
3.7,50,"[30, 10, 2]",256,l-bfgs,0.0,0.495,0.505,0.0,0.495,0.5,1.49
3.8,50,"[30, 10, 2]",256,l-bfgs,0.4982,0.0,1.0,0.5018,0.4964,0.5,1.323
3.9,50,"[30, 10, 2]",256,l-bfgs,0.0,0.511,0.489,0.0,0.511,0.4968,1.649
3.10,50,"[30, 10, 2]",256,l-bfgs,1.0,0.505,0.495,0.0,0.505,0.5,1.385
4.1,50,"[30, 10, 2]",256,gd,0.0,0.5127,0.4873,0.0,0.5127,0.5,1.789
4.2,50,"[30, 10, 2]",256,gd,0.0,0.5305,0.4695,0.0,0.5305,0.5,1.913
4.3,50,"[30, 10, 2]",256,gd,0.0,0.5071,0.4929,1.0,0.5088,0.4964,1.715
4.4,50,"[30, 10, 2]",256,gd,0.4607,1.0,0.0,0.5393,0.5409,0.4962,1.796
4.5,50,"[30, 10, 2]",256,gd,0.0,0.5445,0.4555,0.0,0.5445,0.5,1.72
4.6,50,"[30, 10, 2]",256,gd,0.0,0.5326,0.4674,0.0,0.5326,0.5,1.824
4.7,50,"[30, 10, 2]",256,gd,0.0,0.495,0.505,0.0,0.495,0.5,1.828
4.8,50,"[30, 10, 2]",256,gd,0.0,0.4946,0.5054,1.0,0.4964,0.4965,1.847
4.9,50,"[30, 10, 2]",256,gd,0.0,0.5048,0.4952,0.0,0.4984,0.5,1.911
4.10,50,"[30, 10, 2]",256,gd,0.0,0.505,0.495,0.0,0.505,0.5,1.74
5.1,50,"[30, 10, 2]",512,l-bfgs,0.0,0.5127,0.4873,0.0,0.5127,0.5,1.416
5.2,50,"[30, 10, 2]",512,l-bfgs,0.0,0.5305,0.4695,0.0,0.5305,0.5,1.512
5.3,50,"[30, 10, 2]",512,l-bfgs,0.0,0.5071,0.4929,1.0,0.5088,0.4964,1.649
5.4,50,"[30, 10, 2]",512,l-bfgs,0.4607,1.0,0.0,0.5393,0.5409,0.4962,1.295
5.5,50,"[30, 10, 2]",512,l-bfgs,0.0,0.5445,0.4555,0.0,0.5445,0.5,1.477
5.6,50,"[30, 10, 2]",512,l-bfgs,0.0,0.5326,0.4674,0.0,0.5326,0.5,1.498
5.7,50,"[30, 10, 2]",512,l-bfgs,0.0,0.495,0.505,0.0,0.495,0.5,1.32
5.8,50,"[30, 10, 2]",512,l-bfgs,0.4929,0.0,0.0,0.5071,0.5071,0.5,1.538
5.9,50,"[30, 10, 2]",512,l-bfgs,0.0,0.511,0.489,0.0,0.511,0.5,1.621
5.10,50,"[30, 10, 2]",512,l-bfgs,0.0,0.505,0.495,0.0,0.505,0.5,1.238
6.1,50,"[30, 10, 2]",512,gd,0.0,0.5127,0.4873,0.0,0.5127,0.5,1.735
6.2,50,"[30, 10, 2]",512,gd,0.0,0.5305,0.4695,0.0,0.5305,0.5,1.905
6.3,50,"[30, 10, 2]",512,gd,0.0,0.5071,0.4929,1.0,0.5088,0.4964,1.877
6.4,50,"[30, 10, 2]",512,gd,0.4607,1.0,0.0,0.5393,0.5409,0.4962,1.777
6.5,50,"[30, 10, 2]",512,gd,0.0,0.5445,0.4555,0.0,0.5445,0.5,1.735
6.6,50,"[30, 10, 2]",512,gd,0.0,0.5326,0.4674,0.0,0.5326,0.5,1.711
6.7,50,"[30, 10, 2]",512,gd,0.0,0.4916,0.5084,1.0,0.495,0.5,1.792
6.8,50,"[30, 10, 2]",512,gd,0.0,0.4946,0.5054,1.0,0.5071,0.4965,1.881
