Multiplier: 10
Multilayer Perceptron: 36 different tests
Iteration,Max_Iter,Layer,Block_Size,Solver,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
6.9,50,"[30, 10, 2]",512,gd,1.0,0.511,0.489,0.0,0.511,0.5,1.813
6.10,50,"[30, 10, 2]",512,gd,0.0,0.505,0.495,0.0,0.505,0.5,1.674
7.1,50,"[30, 20, 2]",128,l-bfgs,0.0,0.5127,0.4873,0.0,0.5127,0.5,2.042
7.2,50,"[30, 20, 2]",128,l-bfgs,0.5,0.5273,0.4727,0.5,0.5305,0.5063,2.493
7.3,50,"[30, 20, 2]",128,l-bfgs,0.0,0.5071,0.4929,1.0,0.5088,0.4846,1.934
7.4,50,"[30, 20, 2]",128,l-bfgs,0.4626,0.0,0.0,0.5374,0.5374,0.5,1.76
7.5,50,"[30, 20, 2]",128,l-bfgs,1.0,0.5445,0.4555,0.0,0.5445,0.5,3.229
7.6,50,"[30, 20, 2]",128,l-bfgs,0.0,0.5326,0.4674,0.0,0.5326,0.5093,2.121
7.7,50,"[30, 20, 2]",128,l-bfgs,0.6,0.4914,0.5086,0.4,0.4884,0.507,2.59
7.8,50,"[30, 20, 2]",128,l-bfgs,0.4946,0.0,1.0,0.5054,0.5036,0.5035,3.205
7.9,50,"[30, 20, 2]",128,l-bfgs,0.0,0.511,0.489,0.0,0.511,0.5,3.883
7.10,50,"[30, 20, 2]",128,l-bfgs,0.5051,0.5,0.5,0.4949,0.495,0.4936,3.383
8.1,50,"[30, 20, 2]",128,gd,1.0,0.5112,0.4888,0.0,0.5096,0.5031,1.767

ERROR LBFGS: Failure! Resetting history: breeze.optimize.FirstOrderException: Line search failed
ERROR PythonRunner: Python worker exited unexpectedly (crashed)
