Multiplier: 10
Multilayer Perceptron: 36 different tests
Iteration,Max_Iter,Layer,Block_Size,Solver,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
1.1,50,"[30, 10, 2]",128,l-bfgs,0.8,0.5158,0.4842,0.2,0.5109,0.5087,6.198
1.2,50,"[30, 10, 2]",128,l-bfgs,0.4843,0.0,0.0,0.5157,0.5157,0.5,2.759
1.3,50,"[30, 10, 2]",128,l-bfgs,0.4866,1.0,0.0,0.5134,0.5151,0.4966,1.687
1.4,50,"[30, 10, 2]",128,l-bfgs,0.0,0.5281,0.4719,0.0,0.5281,0.4881,1.786
1.5,50,"[30, 10, 2]",128,l-bfgs,0.4393,0.0,0.0,0.5607,0.5552,0.5,2.181
1.6,50,"[30, 10, 2]",128,l-bfgs,0.476,0.0,1.0,0.524,0.524,0.5,2.179
1.7,50,"[30, 10, 2]",128,l-bfgs,0.0,0.5129,0.4871,1.0,0.4984,0.5,2.165
1.8,50,"[30, 10, 2]",128,l-bfgs,0.5,0.4946,0.5054,0.5,0.4946,0.5001,1.995
1.9,50,"[30, 10, 2]",128,l-bfgs,0.5,0.5404,0.4596,0.5,0.5335,0.4996,5.805
1.10,50,"[30, 10, 2]",128,l-bfgs,0.4931,1.0,0.0,0.5069,0.5087,0.4965,1.335
2.1,50,"[30, 10, 2]",128,gd,1.0,0.5189,0.4811,0.0,0.514,0.5,1.657
2.2,50,"[30, 10, 2]",128,gd,0.4843,0.0,0.0,0.5157,0.5157,0.5,1.671
2.3,50,"[30, 10, 2]",128,gd,0.4866,1.0,0.0,0.5134,0.5151,0.4966,1.656
2.4,50,"[30, 10, 2]",128,gd,0.0,0.5341,0.4659,0.0,0.5281,0.5,1.729
2.5,50,"[30, 10, 2]",128,gd,0.4492,0.0,0.0,0.5508,0.5455,0.5,1.757
2.6,50,"[30, 10, 2]",128,gd,0.476,0.0,0.0,0.524,0.524,0.5,1.701
2.7,50,"[30, 10, 2]",128,gd,0.0,0.4953,0.5047,0.0,0.4953,0.5001,1.685
2.8,50,"[30, 10, 2]",128,gd,0.0,0.5018,0.4982,1.0,0.4982,0.4965,1.634
2.9,50,"[30, 10, 2]",128,gd,0.0,0.5352,0.4648,1.0,0.5366,0.4967,1.616
2.10,50,"[30, 10, 2]",128,gd,0.4931,1.0,0.0,0.5069,0.5087,0.4965,1.694
3.1,50,"[30, 10, 2]",256,l-bfgs,0.8,0.5158,0.4842,0.2,0.5109,0.5087,2.137
3.2,50,"[30, 10, 2]",256,l-bfgs,0.4825,0.0,0.0,0.5175,0.5157,0.5,1.842
3.3,50,"[30, 10, 2]",256,l-bfgs,0.4866,1.0,0.0,0.5134,0.5284,0.4966,1.367
3.4,50,"[30, 10, 2]",256,l-bfgs,0.0,0.5281,0.4719,0.0,0.5281,0.5,1.397
3.5,50,"[30, 10, 2]",256,l-bfgs,0.4448,0.0,1.0,0.5552,0.5552,0.5022,1.846
3.6,50,"[30, 10, 2]",256,l-bfgs,0.476,0.0,0.0,0.524,0.524,0.5,1.968
3.7,50,"[30, 10, 2]",256,l-bfgs,1.0,0.5,0.5,0.0,0.4953,0.5,1.98
3.8,50,"[30, 10, 2]",256,l-bfgs,0.8333,0.4946,0.5054,0.1667,0.4946,0.5001,1.85
3.9,50,"[30, 10, 2]",256,l-bfgs,0.5,0.5337,0.4663,0.5,0.5335,0.4996,5.178
3.10,50,"[30, 10, 2]",256,l-bfgs,0.4931,1.0,0.0,0.5069,0.5087,0.4965,1.265
4.1,50,"[30, 10, 2]",256,gd,0.0,0.5202,0.4798,0.0,0.5202,0.5,1.641
4.2,50,"[30, 10, 2]",256,gd,0.4843,0.0,0.0,0.5157,0.5157,0.5,1.652
