Multiplier: 10
Multilayer Perceptron: 36 different tests
Iteration,Max_Iter,Layer,Block_Size,Solver,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
1.1,50,"[30, 10, 2]",128,l-bfgs,0.4888,1.0,0.0,0.5112,0.5127,0.4968,4.637
1.2,50,"[30, 10, 2]",128,l-bfgs,0.0,0.5455,0.4545,0.0,0.5455,0.5,2.639
1.3,50,"[30, 10, 2]",128,l-bfgs,0.6923,0.4385,0.5615,0.3077,0.4214,0.5578,4.275
1.4,50,"[30, 10, 2]",128,l-bfgs,0.4848,0.0,0.0,0.5152,0.5152,0.5029,3.026
1.5,50,"[30, 10, 2]",128,l-bfgs,1.0,0.5124,0.4876,0.0,0.5106,0.5034,2.204
1.6,50,"[30, 10, 2]",128,l-bfgs,1.0,0.4931,0.5069,0.0,0.4897,0.5035,1.399
1.7,50,"[30, 10, 2]",128,l-bfgs,0.0,0.5051,0.4949,1.0,0.5068,0.4966,1.895
1.8,50,"[30, 10, 2]",128,l-bfgs,0.0,0.5223,0.4777,0.0,0.5223,0.5,1.491
1.9,50,"[30, 10, 2]",128,l-bfgs,0.5,0.4948,0.5052,0.5,0.4949,0.5001,2.497
1.10,50,"[30, 10, 2]",128,l-bfgs,1.0,0.5113,0.4887,0.0,0.5096,0.5031,2.566
2.1,50,"[30, 10, 2]",128,gd,0.4904,0.0,0.0,0.5096,0.5096,0.5118,1.745
2.2,50,"[30, 10, 2]",128,gd,0.0,0.5455,0.4545,0.0,0.5455,0.5,1.634
