Multiplier: 10
Decision_Tree MLLib: 18 different tests
Iteration,Impurity,Max_Depth,Max_Bins,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
7.8,gini,7,32,0.8828,0.1241,0.8759,0.1172,0.1207,0.8793
7.9,gini,7,32,0.9291,0.0362,0.9638,0.0709,0.0538,0.9467
7.10,gini,7,32,0.9127,0.0938,0.9062,0.0873,0.0909,0.9071
8.1,gini,7,64,0.9521,0.0739,0.9261,0.0479,0.0621,0.9366
8.2,gini,7,64,0.9493,0.121,0.879,0.0507,0.0881,0.9125
8.3,gini,7,64,0.8767,0.0845,0.9155,0.1233,0.1042,0.8963
8.4,gini,7,64,0.9398,0.0938,0.9062,0.0602,0.0785,0.9203
8.5,gini,7,64,0.8917,0.0738,0.9262,0.1083,0.0915,0.9087
8.6,gini,7,64,0.9426,0.0753,0.9247,0.0574,0.0672,0.9317
8.7,gini,7,64,0.96,0.1026,0.8974,0.04,0.0719,0.9295
8.8,gini,7,64,0.8966,0.1103,0.8897,0.1034,0.1069,0.8931
8.9,gini,7,64,0.9286,0.0432,0.9568,0.0714,0.0573,0.943
8.10,gini,7,64,0.9,0.0833,0.9167,0.1,0.0909,0.9083
9.1,gini,7,128,0.9452,0.0795,0.9205,0.0548,0.0683,0.9304
9.2,gini,7,128,0.9275,0.1401,0.8599,0.0725,0.1085,0.8922
9.3,gini,7,128,0.8986,0.1067,0.8933,0.1014,0.1042,0.8956
9.4,gini,7,128,0.9394,0.0994,0.9006,0.0606,0.0819,0.9167
9.5,gini,7,128,0.8742,0.0816,0.9184,0.1258,0.1046,0.8957
9.6,gini,7,128,0.9508,0.0685,0.9315,0.0492,0.0597,0.9392
9.7,gini,7,128,0.9467,0.1154,0.8846,0.0533,0.085,0.9164
9.8,gini,7,128,0.898,0.0979,0.9021,0.102,0.1,0.9
9.9,gini,7,128,0.9313,0.0946,0.9054,0.0687,0.0824,0.9171
9.10,gini,7,128,0.92,0.0932,0.9068,0.08,0.0874,0.9103
10.1,entropy,5,32,0.9384,0.0852,0.9148,0.0616,0.0745,0.9242
10.2,entropy,5,32,0.9412,0.1384,0.8616,0.0588,0.1017,0.8991
10.3,entropy,5,32,0.8889,0.0833,0.9167,0.1111,0.0972,0.9031
10.4,entropy,5,32,0.9389,0.1049,0.8951,0.0611,0.0853,0.9131
10.5,entropy,5,32,0.906,0.1019,0.8981,0.094,0.098,0.9019
10.6,entropy,5,32,0.9658,0.0861,0.9139,0.0342,0.0634,0.9343
10.7,entropy,5,32,0.9396,0.1274,0.8726,0.0604,0.0948,0.9067
10.8,entropy,5,32,0.9333,0.129,0.871,0.0667,0.1,0.9003
10.9,entropy,5,32,0.9265,0.0699,0.9301,0.0735,0.0717,0.9283
10.10,entropy,5,32,0.9219,0.0759,0.9241,0.0781,0.0769,0.9218
11.1,entropy,5,64,0.9507,0.0944,0.9056,0.0493,0.0745,0.9235
11.2,entropy,5,64,0.9542,0.1524,0.8476,0.0458,0.1051,0.896
11.3,entropy,5,64,0.9407,0.085,0.915,0.0593,0.0729,0.9265
11.4,entropy,5,64,0.9167,0.118,0.882,0.0833,0.1024,0.8962
11.5,entropy,5,64,0.906,0.1019,0.8981,0.094,0.098,0.9019
11.6,entropy,5,64,0.95,0.0811,0.9189,0.05,0.0672,0.9313
11.7,entropy,5,64,0.9477,0.098,0.902,0.0523,0.0752,0.9257
11.8,entropy,5,64,0.9444,0.0685,0.9315,0.0556,0.0621,0.938
11.9,entropy,5,64,0.9313,0.0946,0.9054,0.0687,0.0824,0.9171
11.10,entropy,5,64,0.944,0.0745,0.9255,0.056,0.0664,0.9314
12.1,entropy,5,128,0.9521,0.0739,0.9261,0.0479,0.0621,0.9366
12.2,entropy,5,128,0.947,0.1534,0.8466,0.053,0.1085,0.8925
12.3,entropy,5,128,0.9051,0.106,0.894,0.0949,0.1007,0.8989
12.4,entropy,5,128,0.916,0.1235,0.8765,0.084,0.1058,0.8926
12.5,entropy,5,128,0.9067,0.0962,0.9038,0.0933,0.0948,0.9052
12.6,entropy,5,128,0.958,0.0805,0.9195,0.042,0.0634,0.9348
12.7,entropy,5,128,0.9295,0.1,0.9,0.0705,0.085,0.9155
12.8,entropy,5,128,0.8733,0.1071,0.8929,0.1267,0.1172,0.8827
12.9,entropy,5,128,0.9111,0.0903,0.9097,0.0889,0.0896,0.9102
12.10,entropy,5,128,0.9504,0.0909,0.9091,0.0496,0.0734,0.9231
13.1,entropy,6,32,0.92,0.0814,0.9186,0.08,0.0807,0.9187
13.2,entropy,6,32,0.9353,0.1282,0.8718,0.0647,0.0983,0.9023
