Multiplier: 10
Decision_Tree MLLib: 18 different tests
Iteration,Impurity,Max_Depth,Max_Bins,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
7.10,gini,7,32,0.9119,0.0839,0.9161,0.0881,0.086,0.914,0.651
8.1,gini,7,64,0.9379,0.1138,0.8862,0.0621,0.0845,0.9156,0.61
8.2,gini,7,64,0.903,0.0809,0.9191,0.097,0.0889,0.9112,0.609
8.3,gini,7,64,0.8633,0.0775,0.9225,0.1367,0.1082,0.8927,0.613
8.4,gini,7,64,0.9301,0.0915,0.9085,0.0699,0.0814,0.9179,0.61
8.5,gini,7,64,0.8994,0.0915,0.9085,0.1006,0.0963,0.9032,0.532
8.6,gini,7,64,0.959,0.0943,0.9057,0.041,0.0712,0.9264,0.678
8.7,gini,7,64,0.9125,0.0784,0.9216,0.0875,0.0831,0.9169,0.615
8.8,gini,7,64,0.9118,0.0889,0.9111,0.0882,0.0886,0.9088,0.625
8.9,gini,7,64,0.937,0.0968,0.9032,0.063,0.0797,0.9209,0.62
8.10,gini,7,64,0.8896,0.0861,0.9139,0.1104,0.0987,0.9012,0.637
9.1,gini,7,128,0.9618,0.1102,0.8898,0.0382,0.0704,0.9324,0.676
9.2,gini,7,128,0.9457,0.0709,0.9291,0.0543,0.063,0.9368,0.698
9.3,gini,7,128,0.8881,0.0821,0.9179,0.1119,0.097,0.9033,0.72
9.4,gini,7,128,0.931,0.0802,0.9198,0.069,0.0749,0.9246,0.603
9.5,gini,7,128,0.8987,0.0979,0.9021,0.1013,0.0997,0.9,0.64
9.6,gini,7,128,0.9206,0.1032,0.8968,0.0794,0.0925,0.9058,0.631
9.7,gini,7,128,0.8889,0.0927,0.9073,0.1111,0.1022,0.8976,0.647
9.8,gini,7,128,0.9281,0.0621,0.9379,0.0719,0.0665,0.9323,0.611
9.9,gini,7,128,0.9313,0.075,0.925,0.0687,0.0717,0.9281,0.522
9.10,gini,7,128,0.8765,0.0625,0.9375,0.1235,0.0955,0.9042,0.667
10.1,entropy,5,32,0.9383,0.1066,0.8934,0.0617,0.081,0.9186,0.61
10.2,entropy,5,32,0.9603,0.0764,0.9236,0.0397,0.0593,0.9402,0.531
10.3,entropy,5,32,0.916,0.073,0.927,0.084,0.0784,0.9217,0.535
10.4,entropy,5,32,0.9054,0.0881,0.9119,0.0946,0.0912,0.9087,0.579
10.5,entropy,5,32,0.9241,0.141,0.859,0.0759,0.1096,0.8916,0.566
