Multiplier: 10
Decision_Tree MLLib: 18 different tests
Iteration,Impurity,Max_Depth,Max_Bins,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
1.1,gini,5,32,0.9242,0.0657,0.9343,0.0758,0.0723,0.9146,2.188
1.2,gini,5,32,0.9574,0.0743,0.9257,0.0426,0.0535,0.9402,0.677
1.3,gini,5,32,0.9422,0.1064,0.8936,0.0578,0.0742,0.9165,0.626
1.4,gini,5,32,0.9728,0.1012,0.8988,0.0272,0.0565,0.946,0.687
1.5,gini,5,32,0.9663,0.0903,0.9097,0.0337,0.0535,0.9439,0.558
1.6,gini,5,32,0.9532,0.1453,0.8547,0.0468,0.0844,0.9163,0.614
1.7,gini,5,32,0.9522,0.0986,0.9014,0.0478,0.0652,0.9283,0.652
1.8,gini,5,32,0.9602,0.1034,0.8966,0.0398,0.0659,0.9351,0.638
1.9,gini,5,32,0.9812,0.1286,0.8714,0.0188,0.0567,0.9481,0.619
1.10,gini,5,32,0.959,0.1049,0.8951,0.041,0.0651,0.9337,0.602
2.1,gini,5,64,0.9333,0.1027,0.8973,0.0667,0.0798,0.9129,0.72
2.2,gini,5,64,0.9476,0.0694,0.9306,0.0524,0.0581,0.9319,0.626
2.3,gini,5,64,0.9498,0.0791,0.9209,0.0502,0.0598,0.9308,0.595
2.4,gini,5,64,0.9732,0.0793,0.9207,0.0268,0.0471,0.9535,0.612
2.5,gini,5,64,0.9597,0.0652,0.9348,0.0403,0.0487,0.9441,0.637
2.6,gini,5,64,0.9639,0.1329,0.8671,0.0361,0.0733,0.9291,0.645
2.7,gini,5,64,0.9519,0.1111,0.8889,0.0481,0.07,0.9246,0.567
2.8,gini,5,64,0.9533,0.0833,0.9167,0.0467,0.0612,0.9368,0.617
2.9,gini,5,64,0.9812,0.1286,0.8714,0.0188,0.0567,0.9481,0.618
2.10,gini,5,64,0.9557,0.0943,0.9057,0.0443,0.0628,0.9342,0.648
3.1,gini,5,128,0.9382,0.0704,0.9296,0.0618,0.0648,0.9262,0.564
3.2,gini,5,128,0.9709,0.0903,0.9097,0.0291,0.0512,0.9482,0.588
3.3,gini,5,128,0.9531,0.0851,0.9149,0.0469,0.0598,0.9325,0.615
3.4,gini,5,128,0.973,0.0904,0.9096,0.027,0.0518,0.9498,0.572
3.5,gini,5,128,0.9735,0.0952,0.9048,0.0265,0.0511,0.9492,0.544
3.6,gini,5,128,0.9675,0.1272,0.8728,0.0325,0.0689,0.9339,0.71
3.7,gini,5,128,0.9481,0.1181,0.8819,0.0519,0.0749,0.9192,0.647
3.8,gini,5,128,0.9533,0.0833,0.9167,0.0467,0.0612,0.9368,0.648
3.9,gini,5,128,0.9777,0.1168,0.8832,0.0223,0.0542,0.9477,0.578
3.10,gini,5,128,0.9487,0.0955,0.9045,0.0513,0.0674,0.9278,0.572
4.1,gini,6,32,0.9041,0.0615,0.9385,0.0959,0.0848,0.8964,0.477
4.2,gini,6,32,0.9507,0.0753,0.9247,0.0493,0.0581,0.9334,0.732
4.3,gini,6,32,0.9395,0.0876,0.9124,0.0605,0.0694,0.9184,0.609
4.4,gini,6,32,0.9728,0.1012,0.8988,0.0272,0.0565,0.946,0.638
4.5,gini,6,32,0.9623,0.1096,0.8904,0.0377,0.0633,0.9348,0.625
4.6,gini,6,32,0.9567,0.1445,0.8555,0.0433,0.0822,0.9194,0.595
4.7,gini,6,32,0.942,0.0942,0.9058,0.058,0.07,0.9195,0.566
