Multiplier: 5
Decision_Tree: 18 different tests
Iteration,Impurity,Max_Depth,Max_Bins,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
14.5,entropy,6,64,0.8915,0.0004,0.9996,0.1085,0.0005,0.8911,36.718
15.1,entropy,6,128,0.9194,0.0004,0.9996,0.0806,0.0005,0.8877,37.151
15.2,entropy,6,128,0.92,0.0004,0.9996,0.08,0.0005,0.8911,37.102
15.3,entropy,6,128,0.8702,0.0004,0.9996,0.1298,0.0006,0.8877,36.605
15.4,entropy,6,128,0.8837,0.0004,0.9996,0.1163,0.0006,0.8877,36.852
15.5,entropy,6,128,0.8915,0.0004,0.9996,0.1085,0.0005,0.8911,36.638
16.1,entropy,7,32,0.9,0.0005,0.9995,0.1,0.0006,0.8673,51.232
16.2,entropy,7,32,0.8898,0.0005,0.9995,0.1102,0.0006,0.8571,125.541
16.3,entropy,7,32,0.8879,0.0005,0.9995,0.1121,0.0007,0.8503,124.019
16.4,entropy,7,32,0.8824,0.0005,0.9995,0.1176,0.0007,0.8571,260.667
16.5,entropy,7,32,0.9204,0.0005,0.9995,0.0796,0.0006,0.8537,112.556
17.1,entropy,7,64,0.8872,0.0003,0.9997,0.1128,0.0005,0.9013,163.514
17.2,entropy,7,64,0.8939,0.0003,0.9997,0.1061,0.0005,0.9013,221.354
17.3,entropy,7,64,0.8943,0.0004,0.9996,0.1057,0.0006,0.8741,56.467
17.4,entropy,7,64,0.8346,0.0004,0.9996,0.1654,0.0007,0.8774,233.145
17.5,entropy,7,64,0.9024,0.0004,0.9996,0.0976,0.0006,0.8775,158.93
18.1,entropy,7,128,0.8923,0.0004,0.9996,0.1077,0.0005,0.8945,116.656
18.2,entropy,7,128,0.9113,0.0004,0.9996,0.0887,0.0005,0.8843,265.235
18.3,entropy,7,128,0.8769,0.0004,0.9996,0.1231,0.0006,0.8877,93.746
18.4,entropy,7,128,0.8636,0.0004,0.9996,0.1364,0.0006,0.8876,176.053
18.5,entropy,7,128,0.8898,0.0004,0.9996,0.1102,0.0006,0.8843,168.292
#############################
Random_Forest: 36 different tests
Iteration,Impurity,Max_Depth,Max_Bins,Num_Trees,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
1.1,gini,5,32,100,0.8636,0.0004,0.9996,0.1364,0.0006,0.8876,115.394
1.2,gini,5,32,100,0.874,0.0004,0.9996,0.126,0.0006,0.8775,229.977
1.3,gini,5,32,100,0.873,0.0004,0.9996,0.127,0.0006,0.8741,213.599
1.4,gini,5,32,100,0.871,0.0005,0.9995,0.129,0.0006,0.8673,113.446
1.5,gini,5,32,100,0.8661,0.0004,0.9996,0.1339,0.0006,0.874,185.047
2.1,gini,5,32,200,0.8651,0.0004,0.9996,0.1349,0.0006,0.8706,273.063
2.2,gini,5,32,200,0.874,0.0004,0.9996,0.126,0.0006,0.8775,217.366
2.3,gini,5,32,200,0.8692,0.0004,0.9996,0.1308,0.0006,0.8843,149.969
2.4,gini,5,32,200,0.872,0.0004,0.9996,0.128,0.0006,0.8707,156.004
2.5,gini,5,32,200,0.8769,0.0004,0.9996,0.1231,0.0006,0.8877,229.386
3.1,gini,5,64,100,0.874,0.0004,0.9996,0.126,0.0006,0.8775,255.072
3.2,gini,5,64,100,0.874,0.0004,0.9996,0.126,0.0006,0.8775,168.217
