Multiplier: 5
Decision_Tree: 18 different tests
Iteration,Impurity,Max_Depth,Max_Bins,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
14.5,entropy,6,64,0.9339,0.0993,0.9007,0.0661,0.084,0.9153,3.5
15.1,entropy,6,128,0.9333,0.1056,0.8944,0.0667,0.0878,0.9113,3.377
15.2,entropy,6,128,0.9333,0.1056,0.8944,0.0667,0.0878,0.9113,3.414
15.3,entropy,6,128,0.9333,0.1056,0.8944,0.0667,0.0878,0.9113,3.504
15.4,entropy,6,128,0.9333,0.1056,0.8944,0.0667,0.0878,0.9113,3.358
15.5,entropy,6,128,0.9333,0.1056,0.8944,0.0667,0.0878,0.9113,3.411
16.1,entropy,7,32,0.9322,0.1181,0.8819,0.0678,0.0954,0.9034,3.567
16.2,entropy,7,32,0.9322,0.1181,0.8819,0.0678,0.0954,0.9034,3.42
16.3,entropy,7,32,0.9322,0.1181,0.8819,0.0678,0.0954,0.9034,3.345
16.4,entropy,7,32,0.9322,0.1181,0.8819,0.0678,0.0954,0.9034,3.394
16.5,entropy,7,32,0.9322,0.1181,0.8819,0.0678,0.0954,0.9034,3.497
17.1,entropy,7,64,0.9339,0.0993,0.9007,0.0661,0.084,0.9153,3.39
17.2,entropy,7,64,0.9339,0.0993,0.9007,0.0661,0.084,0.9153,3.398
17.3,entropy,7,64,0.9339,0.0993,0.9007,0.0661,0.084,0.9153,3.493
17.4,entropy,7,64,0.9339,0.0993,0.9007,0.0661,0.084,0.9153,3.526
17.5,entropy,7,64,0.9339,0.0993,0.9007,0.0661,0.084,0.9153,3.424
18.1,entropy,7,128,0.896,0.1095,0.8905,0.104,0.1069,0.8928,3.426
18.2,entropy,7,128,0.896,0.1095,0.8905,0.104,0.1069,0.8928,3.532
18.3,entropy,7,128,0.896,0.1095,0.8905,0.104,0.1069,0.8928,3.641
18.4,entropy,7,128,0.896,0.1095,0.8905,0.104,0.1069,0.8928,3.655
18.5,entropy,7,128,0.896,0.1095,0.8905,0.104,0.1069,0.8928,3.645
#############################
Random_Forest: 36 different tests
Iteration,Impurity,Max_Depth,Max_Bins,Num_Trees,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
1.1,gini,5,32,100,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,4.352
1.2,gini,5,32,100,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,4.115
1.3,gini,5,32,100,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,4.287
1.4,gini,5,32,100,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,4.178
1.5,gini,5,32,100,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,4.287
2.1,gini,5,32,200,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,4.638
2.2,gini,5,32,200,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,4.624
2.3,gini,5,32,200,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,4.684
2.4,gini,5,32,200,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,4.901
2.5,gini,5,32,200,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,4.673
3.1,gini,5,64,100,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,4.262
3.2,gini,5,64,100,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,4.224
3.3,gini,5,64,100,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,4.316
3.4,gini,5,64,100,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,4.326
3.5,gini,5,64,100,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,4.254
4.1,gini,5,64,200,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,5.126
4.2,gini,5,64,200,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,5.269
4.3,gini,5,64,200,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,5.102
4.4,gini,5,64,200,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,5.091
4.5,gini,5,64,200,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,5.174
5.1,gini,5,128,100,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,4.742
5.2,gini,5,128,100,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,4.624
5.3,gini,5,128,100,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,4.598
5.4,gini,5,128,100,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,4.845
5.5,gini,5,128,100,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,4.699
6.1,gini,5,128,200,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,6.074
6.2,gini,5,128,200,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,6.016
6.3,gini,5,128,200,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,6.166
6.4,gini,5,128,200,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,6.056
6.5,gini,5,128,200,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,5.987
7.1,gini,6,32,100,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,4.741
7.2,gini,6,32,100,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,4.443
7.3,gini,6,32,100,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,4.639
7.4,gini,6,32,100,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,5.054
7.5,gini,6,32,100,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,4.627
8.1,gini,6,32,200,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,5.295
8.2,gini,6,32,200,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,5.23
8.3,gini,6,32,200,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,5.205
8.4,gini,6,32,200,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,5.133
8.5,gini,6,32,200,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,5.128
9.1,gini,6,64,100,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,4.487
9.2,gini,6,64,100,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,4.729
9.3,gini,6,64,100,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,4.651
9.4,gini,6,64,100,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,4.636
9.5,gini,6,64,100,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,4.824
10.1,gini,6,64,200,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,5.744
10.2,gini,6,64,200,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,5.729
10.3,gini,6,64,200,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,5.752
10.4,gini,6,64,200,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,5.583
10.5,gini,6,64,200,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,5.647
11.1,gini,6,128,100,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,5.132
11.2,gini,6,128,100,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,4.982
11.3,gini,6,128,100,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,5.086
11.4,gini,6,128,100,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,5.17
11.5,gini,6,128,100,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,5.283
12.1,gini,6,128,200,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,6.988
12.2,gini,6,128,200,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,6.7
12.3,gini,6,128,200,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,6.613
12.4,gini,6,128,200,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,6.744
12.5,gini,6,128,200,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,6.801
13.1,gini,7,32,100,0.958,0.0909,0.9091,0.042,0.0687,0.9303,4.742
13.2,gini,7,32,100,0.958,0.0909,0.9091,0.042,0.0687,0.9303,4.657
13.3,gini,7,32,100,0.958,0.0909,0.9091,0.042,0.0687,0.9303,4.76
13.4,gini,7,32,100,0.958,0.0909,0.9091,0.042,0.0687,0.9303,4.786
13.5,gini,7,32,100,0.958,0.0909,0.9091,0.042,0.0687,0.9303,4.741
14.1,gini,7,32,200,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,5.764
14.2,gini,7,32,200,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,5.655
14.3,gini,7,32,200,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,5.582
14.4,gini,7,32,200,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,5.624
14.5,gini,7,32,200,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,5.633
15.1,gini,7,64,100,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,4.91
15.2,gini,7,64,100,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,4.947
15.3,gini,7,64,100,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,4.895
15.4,gini,7,64,100,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,4.873
15.5,gini,7,64,100,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,4.88
16.1,gini,7,64,200,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,6.042
16.2,gini,7,64,200,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,6.168
16.3,gini,7,64,200,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,6.166
16.4,gini,7,64,200,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,6.053
16.5,gini,7,64,200,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,6.27
17.1,gini,7,128,100,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,5.37
17.2,gini,7,128,100,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,5.48
17.3,gini,7,128,100,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,5.499
17.4,gini,7,128,100,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,5.332
17.5,gini,7,128,100,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,5.527
18.1,gini,7,128,200,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,7.465
18.2,gini,7,128,200,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,7.505
18.3,gini,7,128,200,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,7.808
18.4,gini,7,128,200,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,7.619
18.5,gini,7,128,200,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,7.446
19.1,entropy,5,32,100,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,4.174
19.2,entropy,5,32,100,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,4.185
19.3,entropy,5,32,100,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,4.151
19.4,entropy,5,32,100,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,4.009
19.5,entropy,5,32,100,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,4.194
20.1,entropy,5,32,200,0.9735,0.1141,0.8859,0.0265,0.0763,0.922,4.751
20.2,entropy,5,32,200,0.9735,0.1141,0.8859,0.0265,0.0763,0.922,4.635
20.3,entropy,5,32,200,0.9735,0.1141,0.8859,0.0265,0.0763,0.922,4.907
20.4,entropy,5,32,200,0.9735,0.1141,0.8859,0.0265,0.0763,0.922,4.591
20.5,entropy,5,32,200,0.9735,0.1141,0.8859,0.0265,0.0763,0.922,4.863
21.1,entropy,5,64,100,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,4.394
21.2,entropy,5,64,100,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,4.338
21.3,entropy,5,64,100,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,4.317
21.4,entropy,5,64,100,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,4.375
21.5,entropy,5,64,100,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,4.51
22.1,entropy,5,64,200,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,5.057
22.2,entropy,5,64,200,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,5.043
22.3,entropy,5,64,200,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,5.148
22.4,entropy,5,64,200,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,4.942
22.5,entropy,5,64,200,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,4.989
23.1,entropy,5,128,100,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,4.686
23.2,entropy,5,128,100,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,4.692
