Multiplier: 1
Decision_Tree MLLib: 18 different tests
Iteration,Impurity,Max_Depth,Max_Bins,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
9.1,logLoss,5,64,50,0.95,0.0915,0.9085,0.05,0.0725,0.9266,35.957
10.1,logLoss,5,64,100,0.9421,0.0922,0.9078,0.0579,0.0763,0.9229,89.119
11.1,logLoss,5,128,50,0.9402,0.1172,0.8828,0.0598,0.0916,0.9071,40.457
12.1,logLoss,5,128,100,0.9417,0.0986,0.9014,0.0583,0.0802,0.919,98.264
13.1,leastSquaresError,3,32,50,0.9106,0.1079,0.8921,0.0894,0.0992,0.9002,22.601
14.1,leastSquaresError,3,32,100,0.9106,0.1079,0.8921,0.0894,0.0992,0.9002,59.782
15.1,leastSquaresError,3,64,50,0.9496,0.0979,0.9021,0.0504,0.0763,0.9227,25.929
16.1,leastSquaresError,3,64,100,0.9496,0.0979,0.9021,0.0504,0.0763,0.9227,59.841
17.1,leastSquaresError,3,128,50,0.9333,0.1056,0.8944,0.0667,0.0878,0.9113,28.029
18.1,leastSquaresError,3,128,100,0.9256,0.1064,0.8936,0.0744,0.0916,0.9076,63.971
19.1,leastSquaresError,5,32,50,0.8952,0.1159,0.8841,0.1048,0.1107,0.8889,34.504
20.1,leastSquaresError,5,32,100,0.8952,0.1159,0.8841,0.1048,0.1107,0.8889,84.783
21.1,leastSquaresError,5,64,50,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,38.14
22.1,leastSquaresError,5,64,100,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,94.387
23.1,leastSquaresError,5,128,50,0.9316,0.1241,0.8759,0.0684,0.0992,0.8995,44.606
24.1,leastSquaresError,5,128,100,0.9316,0.1241,0.8759,0.0684,0.0992,0.8995,104.509
25.1,leastAbsoluteError,3,32,50,0.9106,0.1079,0.8921,0.0894,0.0992,0.9002,24.051
26.1,leastAbsoluteError,3,32,100,0.9106,0.1079,0.8921,0.0894,0.0992,0.9002,56.253
