Multiplier: 10
Decision_Tree MLLib: 18 different tests
Iteration,Impurity,Max_Depth,Max_Bins,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
8.1,gini,7,64,0.9226,0.1049,0.8951,0.0774,0.0915,0.9087,0.589
8.2,gini,7,64,0.9252,0.1014,0.8986,0.0748,0.0881,0.9121,0.679
8.3,gini,7,64,0.9315,0.1006,0.8994,0.0685,0.0852,0.9147,0.707
8.4,gini,7,64,0.8797,0.1268,0.8732,0.1203,0.1236,0.8762,0.612
8.5,gini,7,64,0.9191,0.1143,0.8857,0.0809,0.0978,0.9025,0.601
8.6,gini,7,64,0.9343,0.0903,0.9097,0.0657,0.0788,0.9207,0.616
8.7,gini,7,64,0.8912,0.1133,0.8867,0.1088,0.1111,0.8889,0.78
8.8,gini,7,64,0.8529,0.0972,0.9028,0.1471,0.1214,0.8795,0.77
8.9,gini,7,64,0.8873,0.1226,0.8774,0.1127,0.1178,0.8819,0.636
8.10,gini,7,64,0.9444,0.0526,0.9474,0.0556,0.054,0.9454,0.58
9.1,gini,7,128,0.8987,0.1132,0.8868,0.1013,0.1073,0.8928,0.659
9.2,gini,7,128,0.9085,0.0845,0.9155,0.0915,0.0881,0.9117,0.639
9.3,gini,7,128,0.8861,0.0816,0.9184,0.1139,0.0984,0.9017,0.655
9.4,gini,7,128,0.9206,0.1275,0.8725,0.0794,0.1055,0.8939,0.629
9.5,gini,7,128,0.9398,0.1119,0.8881,0.0602,0.087,0.9136,0.642
9.6,gini,7,128,0.942,0.0779,0.9221,0.058,0.0685,0.9311,0.632
9.7,gini,7,128,0.902,0.0694,0.9306,0.098,0.0842,0.9159,0.682
9.8,gini,7,128,0.8881,0.0753,0.9247,0.1119,0.0929,0.9077,0.617
9.9,gini,7,128,0.8639,0.12,0.88,0.1361,0.1279,0.8721,0.83
9.10,gini,7,128,0.8462,0.0818,0.9182,0.1538,0.1175,0.8846,0.686
10.1,entropy,5,32,0.973,0.0947,0.9053,0.027,0.0631,0.9373,0.699
10.2,entropy,5,32,0.92,0.0897,0.9103,0.08,0.0847,0.9153,0.698
10.3,entropy,5,32,0.9456,0.0823,0.9177,0.0544,0.0689,0.9311,0.655
10.4,entropy,5,32,0.92,0.1333,0.8667,0.08,0.1091,0.8902,0.559
10.5,entropy,5,32,0.9528,0.1342,0.8658,0.0472,0.0942,0.9069,0.542
10.6,entropy,5,32,0.9609,0.1159,0.8841,0.0391,0.0822,0.9164,0.643
10.7,entropy,5,32,0.9315,0.0795,0.9205,0.0685,0.0741,0.9259,0.553
10.8,entropy,5,32,0.8897,0.0625,0.9375,0.1103,0.0857,0.9154,0.544
10.9,entropy,5,32,0.9124,0.125,0.875,0.0876,0.1077,0.8916,0.415
10.10,entropy,5,32,0.906,0.0602,0.9398,0.094,0.0762,0.9243,0.7
11.1,entropy,5,64,0.9527,0.1124,0.8876,0.0473,0.082,0.9183,0.849
11.2,entropy,5,64,0.902,0.0915,0.9085,0.098,0.0949,0.9049,0.682
11.3,entropy,5,64,0.9448,0.0938,0.9062,0.0552,0.0754,0.9245,0.748
11.4,entropy,5,64,0.9365,0.1141,0.8859,0.0635,0.0909,0.9085,0.586
11.5,entropy,5,64,0.9669,0.1548,0.8452,0.0331,0.1014,0.9001,0.526
11.6,entropy,5,64,0.9424,0.0719,0.9281,0.0576,0.0651,0.9346,0.536
11.7,entropy,5,64,0.9161,0.1104,0.8896,0.0839,0.0976,0.9023,0.539
11.8,entropy,5,64,0.875,0.0764,0.9236,0.125,0.1,0.901,0.58
11.9,entropy,5,64,0.911,0.0795,0.9205,0.089,0.0842,0.9159,0.634
