Multiplier: 10
Decision_Tree MLLib: 18 different tests
Iteration,Impurity,Max_Depth,Max_Bins,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
1.1,gini,5,32,0.9886,0.1056,0.8944,0.0114,0.0443,0.9613,2.873
1.2,gini,5,32,0.9886,0.1056,0.8944,0.0114,0.0443,0.9613,1.133
1.3,gini,5,32,0.9886,0.1056,0.8944,0.0114,0.0443,0.9613,0.928
1.4,gini,5,32,0.9886,0.1056,0.8944,0.0114,0.0443,0.9613,0.828
1.5,gini,5,32,0.9886,0.1056,0.8944,0.0114,0.0443,0.9613,0.742
1.6,gini,5,32,0.9886,0.1056,0.8944,0.0114,0.0443,0.9613,0.73
1.7,gini,5,32,0.9886,0.1056,0.8944,0.0114,0.0443,0.9613,0.664
1.8,gini,5,32,0.9886,0.1056,0.8944,0.0114,0.0443,0.9613,0.724
1.9,gini,5,32,0.9886,0.1056,0.8944,0.0114,0.0443,0.9613,0.668
1.10,gini,5,32,0.9886,0.1056,0.8944,0.0114,0.0443,0.9613,0.583
2.1,gini,5,64,0.9846,0.137,0.863,0.0154,0.0591,0.9484,0.722
2.2,gini,5,64,0.9846,0.137,0.863,0.0154,0.0591,0.9484,0.702
2.3,gini,5,64,0.9846,0.137,0.863,0.0154,0.0591,0.9484,0.619
2.4,gini,5,64,0.9846,0.137,0.863,0.0154,0.0591,0.9484,0.653
2.5,gini,5,64,0.9846,0.137,0.863,0.0154,0.0591,0.9484,0.604
2.6,gini,5,64,0.9846,0.137,0.863,0.0154,0.0591,0.9484,0.837
2.7,gini,5,64,0.9846,0.137,0.863,0.0154,0.0591,0.9484,0.808
2.8,gini,5,64,0.9846,0.137,0.863,0.0154,0.0591,0.9484,0.553
2.9,gini,5,64,0.9846,0.137,0.863,0.0154,0.0591,0.9484,0.625
2.10,gini,5,64,0.9846,0.137,0.863,0.0154,0.0591,0.9484,0.553
3.1,gini,5,128,0.9848,0.1189,0.8811,0.0152,0.0517,0.9538,0.612
3.2,gini,5,128,0.9848,0.1189,0.8811,0.0152,0.0517,0.9538,0.643
3.3,gini,5,128,0.9848,0.1189,0.8811,0.0152,0.0517,0.9538,0.641
3.4,gini,5,128,0.9848,0.1189,0.8811,0.0152,0.0517,0.9538,0.643
3.5,gini,5,128,0.9848,0.1189,0.8811,0.0152,0.0517,0.9538,0.577
3.6,gini,5,128,0.9848,0.1189,0.8811,0.0152,0.0517,0.9538,0.847
3.7,gini,5,128,0.9848,0.1189,0.8811,0.0152,0.0517,0.9538,0.655
3.8,gini,5,128,0.9848,0.1189,0.8811,0.0152,0.0517,0.9538,0.671
3.9,gini,5,128,0.9848,0.1189,0.8811,0.0152,0.0517,0.9538,0.647
3.10,gini,5,128,0.9848,0.1189,0.8811,0.0152,0.0517,0.9538,0.806
4.1,gini,6,32,0.9886,0.1056,0.8944,0.0114,0.0443,0.9613,0.672
4.2,gini,6,32,0.9886,0.1056,0.8944,0.0114,0.0443,0.9613,0.857
